study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,40,RH-1110-40,618,10,0.208582677,0.20298904,RF
RH,1110,40,RH-1110-40,618,11,0.275212315,0.267364796,RF
RH,1110,40,RH-1110-40,618,12,0.324838561,0.313068009,RF
RH,1110,40,RH-1110-40,618,13,0.399566808,0.427507448,RF
RH,1110,40,RH-1110-40,618,14,0.4946432,0.455317247,RF
RH,1110,40,RH-1110-40,618,15,0.524848296,0.533801448,RF
RH,1110,41,RH-1110-41,618,9,0.064480092,0.072660468,RF
RH,1110,41,RH-1110-41,618,10,0.089471197,0.080481033,RF
RH,1110,41,RH-1110-41,618,11,0.096205421,0.103277528,RF
RH,1110,41,RH-1110-41,618,12,0.112705494,0.107583039,RF
RH,1110,41,RH-1110-41,618,13,0.121404047,0.135976805,RF
RH,1110,41,RH-1110-41,618,14,0.140748446,0.139809821,RF
RH,1110,41,RH-1110-41,618,15,0.155395205,0.153025096,RF
RH,1110,42,RH-1110-42,618,9,0.184960526,0.177253524,RF
RH,1110,42,RH-1110-42,618,10,0.247497272,0.216679548,RF
RH,1110,42,RH-1110-42,618,11,0.298131344,0.288345607,RF
RH,1110,42,RH-1110-42,618,12,0.365848748,0.326446788,RF
RH,1110,42,RH-1110-42,618,13,0.440129899,0.444390297,RF
RH,1110,42,RH-1110-42,618,14,0.539440907,0.472589128,RF
RH,1110,42,RH-1110-42,618,15,0.631195201,0.586606008,RF
RH,1110,43,RH-1110-43,618,9,0.093777633,0.09826266,RF
RH,1110,43,RH-1110-43,618,10,0.129647125,0.115236764,RF
RH,1110,43,RH-1110-43,618,11,0.159238244,0.162900956,RF
RH,1110,43,RH-1110-43,618,12,0.186055458,0.172131152,RF
RH,1110,43,RH-1110-43,618,13,0.218423733,0.237390125,RF
RH,1110,43,RH-1110-43,618,14,0.265742358,0.249787822,RF
RH,1110,43,RH-1110-43,618,15,0.310494625,0.298851607,RF
RH,1110,44,RH-1110-44,618,9,0.195020634,0.193263412,RF
RH,1110,44,RH-1110-44,618,10,0.227645531,0.228373833,RF
RH,1110,44,RH-1110-44,618,11,0.263143429,0.278010328,RF
RH,1110,44,RH-1110-44,618,12,0.317601123,0.331651664,RF
RH,1110,44,RH-1110-44,618,13,0.377462249,0.403579471,RF
RH,1110,44,RH-1110-44,618,14,0.442482998,0.435501541,RF
RH,1110,44,RH-1110-44,618,15,0.502076112,0.5173633,RF
RH,1110,45,RH-1110-45,618,9,0.159676957,0.14360613,RF
RH,1110,45,RH-1110-45,618,10,0.195020634,0.166379927,RF
RH,1110,45,RH-1110-45,618,11,0.227645531,0.220605351,RF
RH,1110,45,RH-1110-45,618,12,0.270585249,0.236568038,RF
RH,1110,45,RH-1110-45,618,13,0.309485951,0.314773381,RF
RH,1110,45,RH-1110-45,618,14,0.359820368,0.330285768,RF
RH,1110,45,RH-1110-45,618,15,0.386441796,0.354684715,RF
RH,1110,46,RH-1110-46,618,9,0.176830203,0.155729322,RF
RH,1110,46,RH-1110-46,618,10,0.214249709,0.174833374,RF
RH,1110,46,RH-1110-46,618,11,0.241501249,0.227359152,RF
RH,1110,46,RH-1110-46,618,12,0.278140467,0.239487261,RF
RH,1110,46,RH-1110-46,618,13,0.30148184,0.303783857,RF
RH,1110,46,RH-1110-46,618,14,0.334162022,0.312555114,RF
RH,1110,46,RH-1110-46,618,15,0.359820368,0.34311846,RF
RH,1110,47,RH-1110-47,618,9,0.207724655,0.196306779,RF
RH,1110,47,RH-1110-47,618,10,0.263143429,0.236718849,RF
RH,1110,47,RH-1110-47,618,11,0.317601123,0.29908284,RF
RH,1110,47,RH-1110-47,618,12,0.377462249,0.330801044,RF
RH,1110,47,RH-1110-47,618,13,0.423396672,0.425909689,RF
RH,1110,47,RH-1110-47,618,14,0.49190749,0.448998465,RF
RH,1110,47,RH-1110-47,618,15,0.543654133,0.525401462,RF
RH,1110,48,RH-1110-48,618,9,0.205331383,0.211493906,RF
RH,1110,48,RH-1110-48,618,10,0.283224979,0.283505744,RF
RH,1110,48,RH-1110-48,618,11,0.373713514,0.365512657,RF
RH,1110,48,RH-1110-48,618,12,0.454718675,0.432485884,RF
RH,1110,48,RH-1110-48,618,13,0.543068307,0.557742939,RF
