age_group,feature,pct_increase_in_mse,model
11,htlc,29.58615489,SVR
11,CLAI,16.09732515,SVR
11,vol1,68.57034917,SVR
11,vol2,142.8604589,SVR
11,vol3,42.24512772,SVR
11,vol4,49.39644631,SVR
11,vol5,163.8027939,SVR
11,sfa1,78.59957279,SVR
11,sfa2,202.9043078,SVR
11,sfa3,40.19409704,SVR
11,sfa4,44.29965725,SVR
11,sfa5,152.6288654,SVR
11,UndTF,15.62178144,SVR
11,UndPrp,26.29887221,SVR
11,CI_Carea,88.61983438,SVR
11,CI_CArea_1,6.486907169,SVR
11,CI_Z,175.8434651,SVR
11,CI_mCDst,113.8444971,SVR
11,CI_LAI,2.647187977,SVR
11,CI_HTLC,14.16380219,SVR
11,CI_under,24.09457278,SVR
11,CI_under2,10.33642771,SVR
11,CI_vol1,24.87505433,SVR
11,CI_vol2,21.38196844,SVR
11,CI_vol3,50.76325821,SVR
11,CI_vol4,16.67226531,SVR
11,CI_vol5,22.72043321,SVR
11,CI_sfa1,31.32379115,SVR
11,CI_sfa2,65.42717932,SVR
11,CI_sfa3,65.00643451,SVR
11,CI_sfa4,53.02910934,SVR
11,CI_sfa5,45.73096152,SVR
11,SILVA1,33.13516428,SVR
11,SILVA2,24.3860534,SVR
11,age,0,SVR
12,Carea,97.932891,SVR
12,mCDst,60.10151327,SVR
12,Z,96.10674162,SVR
12,CArea_1,15.17038401,SVR
12,htlc,29.61650578,SVR
12,CLAI,15.63463798,SVR
12,vol1,61.55567613,SVR
12,vol2,121.3360687,SVR
12,vol3,43.51886853,SVR
12,vol4,41.42865275,SVR
12,vol5,158.9837205,SVR
12,sfa1,68.45048115,SVR
12,sfa2,181.1890046,SVR
12,sfa3,35.30415812,SVR
12,sfa4,34.22215645,SVR
12,sfa5,126.1442091,SVR
12,UndTF,15.1940665,SVR
12,UndPrp,21.55366553,SVR
12,CI_Carea,92.27229967,SVR
12,CI_CArea_1,6.231433727,SVR
12,CI_Z,176.6471311,SVR
12,CI_mCDst,111.9164961,SVR
12,CI_LAI,2.546246862,SVR
12,CI_HTLC,15.22741573,SVR
12,CI_under,23.43559153,SVR
12,CI_under2,9.795358404,SVR
12,CI_vol1,23.87134612,SVR
12,CI_vol2,19.93194314,SVR
12,CI_vol3,45.03858463,SVR
12,CI_vol4,14.04268889,SVR
12,CI_vol5,20.16171274,SVR
12,CI_sfa1,30.20299336,SVR
12,CI_sfa2,50.46096352,SVR
12,CI_sfa3,51.12524934,SVR
12,CI_sfa4,47.70611736,SVR
12,CI_sfa5,34.64021808,SVR
12,SILVA1,33.93217906,SVR
12,SILVA2,22.67761707,SVR
12,age,0,SVR
13,Carea,109.9132526,SVR
13,mCDst,53.87742168,SVR
13,Z,101.1890273,SVR
13,CArea_1,13.80056941,SVR
13,htlc,30.53381529,SVR
13,CLAI,14.88675988,SVR
13,vol1,56.79139222,SVR
13,vol2,105.9301915,SVR
13,vol3,38.31256842,SVR
13,vol4,37.45200159,SVR
13,vol5,151.4934714,SVR
13,sfa1,62.58012012,SVR
13,sfa2,169.1144061,SVR
13,sfa3,33.15311118,SVR
13,sfa4,25.31106976,SVR
13,sfa5,113.3075715,SVR
13,UndTF,13.75667177,SVR
13,UndPrp,20.43163506,SVR
13,CI_Carea,96.17596343,SVR
13,CI_CArea_1,5.738338382,SVR
13,CI_Z,190.8845241,SVR
13,CI_mCDst,101.9182435,SVR
13,CI_LAI,2.315055202,SVR
13,CI_HTLC,14.10820795,SVR
13,CI_under,22.23713914,SVR
13,CI_under2,8.692151766,SVR
13,CI_vol1,23.18178556,SVR
13,CI_vol2,16.51899579,SVR
13,CI_vol3,38.96946051,SVR
13,CI_vol4,12.93939089,SVR
13,CI_vol5,17.02866818,SVR
13,CI_sfa1,28.72023376,SVR
13,CI_sfa2,43.92331565,SVR
13,CI_sfa3,43.46615954,SVR
13,CI_sfa4,39.89949852,SVR
13,CI_sfa5,28.95661897,SVR
13,SILVA1,34.34603048,SVR
13,SILVA2,19.99890981,SVR
13,age,0,SVR
14,Carea,118.3678794,SVR
14,mCDst,48.46777884,SVR
14,Z,104.0883126,SVR
14,CArea_1,12.27684048,SVR
14,htlc,31.12193784,SVR
14,CLAI,14.06349395,SVR
14,vol1,50.90199334,SVR
14,vol2,91.62519648,SVR
14,vol3,36.18277887,SVR
14,vol4,32.84838137,SVR
14,vol5,143.4371933,SVR
14,sfa1,54.86879628,SVR
14,sfa2,151.7856762,SVR
14,sfa3,30.50439692,SVR
14,sfa4,20.34793775,SVR
14,sfa5,97.5376506,SVR
14,UndTF,12.33512675,SVR
14,UndPrp,17.42309169,SVR
14,CI_Carea,95.51853434,SVR
14,CI_CArea_1,5.20199594,SVR
14,CI_Z,195.7121481,SVR
14,CI_mCDst,93.38891538,SVR
14,CI_LAI,2.153827845,SVR
14,CI_HTLC,12.39698639,SVR
14,CI_under,19.70916626,SVR
14,CI_under2,8.014255127,SVR
14,CI_vol1,22.1085546,SVR
