treeID,study,volume_m_21,prediction_m,plot.x,reps,tph,model
10,"Reynolds, VA",0.196621086,0.219281536,4431,4,1853,SVR
2,"Reynolds, VA",0.197380663,0.175620049,3320,3,1236,SVR
76,"Reynolds, VA",0.197735809,0.192759171,4320,4,1236,SVR
7,"Reynolds, VA",0.197858804,0.219864199,1120,1,1236,SVR
33,"Reynolds, VA",0.197993486,0.136146664,2611,2,618,SVR
8,"Reynolds, VA",0.198189823,0.189400123,2111,2,618,SVR
34,"Reynolds, VA",0.198430328,0.164214682,3320,3,1236,SVR
25,"Reynolds, VA",0.198475224,0.260019476,1130,1,1853,SVR
64,"Reynolds, VA",0.198529741,0.236081879,2620,2,1236,SVR
45,"Reynolds, VA",0.198787234,0.224909779,2531,2,1853,SVR
3,"Reynolds, VA",0.19893039,0.200815637,3130,3,1853,SVR
45,"Reynolds, VA",0.199259163,0.251269789,4420,4,1236,SVR
2,"Reynolds, VA",0.199382635,0.288632292,4631,4,1853,SVR
53,"Reynolds, VA",0.199950039,0.288453243,1420,1,1236,SVR
64,"Reynolds, VA",0.200325395,0.197708573,3310,3,618,SVR
50,"Reynolds, VA",0.200912245,0.243707572,1430,1,1853,SVR
46,"Reynolds, VA",0.200950213,0.172393424,3430,3,1853,SVR
13,"Reynolds, VA",0.201384333,0.267393578,1620,1,1236,SVR
13,"Reynolds, VA",0.201599194,0.243222544,4320,4,1236,SVR
16,"Reynolds, VA",0.201801535,0.273992773,1311,1,618,SVR
80,"Reynolds, VA",0.202219371,0.24336058,4310,4,618,SVR
40,"Reynolds, VA",0.202461663,0.252836083,3231,3,1853,SVR
60,"Reynolds, VA",0.202836912,0.245675278,1430,1,1853,SVR
39,"Reynolds, VA",0.202868517,0.129800243,1311,1,618,SVR
30,"Reynolds, VA",0.202888087,0.318404606,2331,2,1853,SVR
31,"Reynolds, VA",0.202929944,0.268668886,2431,2,1853,SVR
55,"Reynolds, VA",0.203942087,0.183481856,3110,3,618,SVR
41,"Reynolds, VA",0.204106156,0.147948003,2510,2,618,SVR
28,"Reynolds, VA",0.204498771,0.195668335,4130,4,1853,SVR
81,"Reynolds, VA",0.204686687,0.346871053,2110,2,618,SVR
24,"Reynolds, VA",0.20504596,0.297662197,4221,4,1236,SVR
27,"Reynolds, VA",0.2050642,0.27818972,3431,3,1853,SVR
7,"Reynolds, VA",0.205250606,0.166909287,3230,3,1853,SVR
72,"Reynolds, VA",0.205357417,0.375647333,2610,2,618,SVR
69,"Reynolds, VA",0.205794349,0.21631838,2121,2,1236,SVR
58,"Reynolds, VA",0.205976664,0.293281253,3620,3,1236,SVR
29,"Reynolds, VA",0.207153433,0.250576035,2530,2,1853,SVR
60,"Reynolds, VA",0.20720239,0.224297073,4321,4,1236,SVR
69,"Reynolds, VA",0.207406483,0.258553626,2630,2,1853,SVR
34,"Reynolds, VA",0.207840789,0.192870029,4120,4,1236,SVR
10,"Reynolds, VA",0.208755497,0.302223535,3431,3,1853,SVR
44,"Reynolds, VA",0.209216154,0.216357807,4521,4,1236,SVR
29,"Reynolds, VA",0.209600703,0.268052168,3221,3,1236,SVR
40,"Reynolds, VA",0.209613735,0.21680816,2630,2,1853,SVR
14,"Reynolds, VA",0.210099991,0.17181753,3331,3,1853,SVR
50,"Reynolds, VA",0.210389739,0.328795608,4611,4,618,SVR
50,"Reynolds, VA",0.210418849,0.196197547,3520,3,1236,SVR
27,"Reynolds, VA",0.210537203,0.307834781,2330,2,1853,SVR
33,"Reynolds, VA",0.211084078,0.192634191,2330,2,1853,SVR
46,"Reynolds, VA",0.212191567,0.256996847,2521,2,1236,SVR
24,"Reynolds, VA",0.212295349,0.183806564,3631,3,1853,SVR
76,"Reynolds, VA",0.212446066,0.282579135,2220,2,1236,SVR
61,"Reynolds, VA",0.212775613,0.238266317,3330,3,1853,SVR
32,"Reynolds, VA",0.212879919,0.194336843,4520,4,1236,SVR
29,"Reynolds, VA",0.212912482,0.379210905,1631,1,1853,SVR
8,"Reynolds, VA",0.213300473,0.303548437,4530,4,1853,SVR
14,"Reynolds, VA",0.213432107,0.174839255,4320,4,1236,SVR
5,"Reynolds, VA",0.213753892,0.195639747,4211,4,618,SVR
19,"Reynolds, VA",0.213853941,0.250741722,3130,3,1853,SVR
48,"Reynolds, VA",0.214186019,0.27998178,1530,1,1853,SVR
81,"Reynolds, VA",0.214930106,0.149561574,2531,2,1853,SVR
31,"Reynolds, VA",0.215428126,0.151467519,4110,4,618,SVR
59,"Reynolds, VA",0.21570338,0.193691252,3430,3,1853,SVR
3,"Reynolds, VA",0.2158268,0.255364786,1130,1,1853,SVR
58,"Reynolds, VA",0.216376156,0.171424659,2531,2,1853,SVR
65,"Reynolds, VA",0.216491152,0.256281164,3130,3,1853,SVR
36,"Reynolds, VA",0.216578912,0.181826537,2331,2,1853,SVR
63,"Reynolds, VA",0.216732309,0.360053909,1430,1,1853,SVR
64,"Reynolds, VA",0.216876402,0.326236242,3411,3,618,SVR
15,"Reynolds, VA",0.217038123,0.275473914,3320,3,1236,SVR
56,"Reynolds, VA",0.217767469,0.308632571,4310,4,618,SVR
21,"Reynolds, VA",0.218038455,0.248963431,1421,1,1236,SVR
45,"Reynolds, VA",0.218429576,0.272267038,4520,4,1236,SVR
74,"Reynolds, VA",0.218863159,0.249133762,4230,4,1853,SVR
50,"Reynolds, VA",0.218939355,0.204630128,4530,4,1853,SVR
16,"Reynolds, VA",0.219153868,0.297196273,4430,4,1853,SVR
9,"Reynolds, VA",0.219488314,0.241071612,4320,4,1236,SVR
65,"Reynolds, VA",0.220072789,0.200869637,2511,2,618,SVR
28,"Reynolds, VA",0.220530954,0.253716675,1120,1,1236,SVR
53,"Reynolds, VA",0.221308091,0.195228284,4631,4,1853,SVR
38,"Reynolds, VA",0.221856838,0.271551164,1420,1,1236,SVR
38,"Reynolds, VA",0.221909467,0.260869773,1331,1,1853,SVR
77,"Reynolds, VA",0.221998189,0.23859167,2631,2,1853,SVR
31,"Reynolds, VA",0.22211511,0.170477719,3320,3,1236,SVR
68,"Reynolds, VA",0.222254386,0.215447576,3110,3,618,SVR
